,row,col,row_ith,col_ith,value,align_x,align_y,angle,ang_con,angle,bar_pos_indicator
82,1.72,0.84,40,18,sp,2.16,-0.48,347,0,347.4711923,0
83,1.72,0.88,40,19,sp,2.16,-0.36,351,0,350.5376778,0
89,1.72,1.12,40,25,sp,2.16,0.36,9,0,9.462322208,0
90,1.72,1.16,40,26,sp,2.16,0.48,13,0,12.52880771,0
91,1.76,0.84,41,18,sp,2.28,-0.48,348,0,348.111342,0
92,1.76,0.88,41,19,sp,2.28,-0.36,351,0,351.0273734,0
93,1.76,0.92,41,20,sp,2.28,-0.24,354,0,353.990994,0
94,1.76,0.96,41,21,sp,2.28,-0.12,357,0,356.9872125,0
95,1.76,1,41,22,sp,2.28,-4.44E-16,360,0,0,0
96,1.76,1.04,41,23,sp,2.28,0.12,3,0,3.012787504,1
97,1.76,1.08,41,24,sp,2.28,0.24,6,0,6.009005957,0
98,1.76,1.12,41,25,sp,2.28,0.36,9,0,8.972626615,0
99,1.76,1.16,41,26,sp,2.28,0.48,12,0,11.88865804,0
100,1.8,0.8,42,17,sp,2.4,-0.6,346,0,345.9637565,0
101,1.8,0.84,42,18,sp,2.4,-0.48,349,0,348.6900675,0
102,1.8,0.88,42,19,sp,2.4,-0.36,351,0,351.4692344,0
103,1.8,0.92,42,20,sp,2.4,-0.24,354,0,354.2894069,0
104,1.8,0.96,42,21,sp,2.4,-0.12,357,0,357.1375948,0
105,1.8,1,42,22,sp,2.4,-4.44E-16,360,0,0,0
106,1.8,1.04,42,23,sp,2.4,0.12,3,0,2.862405226,0
107,1.8,1.08,42,24,sp,2.4,0.24,6,0,5.710593137,0
108,1.8,1.12,42,25,sp,2.4,0.36,9,0,8.53076561,0
109,1.8,1.16,42,26,sp,2.4,0.48,11,0,11.30993247,0
110,1.8,1.2,42,27,sp,2.4,0.6,14,0,14.03624347,0
200,1.56,1.48,36,34,sp,1.68,1.44,41,30,40.60129465,0
201,1.56,1.52,36,35,sp,1.68,1.56,43,30,42.8789036,0
207,1.6,1.4,37,32,sp,1.8,1.2,34,30,33.69006753,0
208,1.6,1.44,37,33,sp,1.8,1.32,36,30,36.25383774,0
209,1.6,1.48,37,34,sp,1.8,1.44,39,30,38.65980825,0
210,1.6,1.52,37,35,sp,1.8,1.56,41,30,40.91438322,0
211,1.6,1.56,37,36,sp,1.8,1.68,43,30,43.02506599,0
216,1.64,1.36,38,31,sp,1.92,1.08,29,30,29.35775354,0
217,1.64,1.4,38,32,sp,1.92,1.2,32,30,32.00538321,0
218,1.64,1.44,38,33,sp,1.92,1.32,35,30,34.50852299,0
219,1.64,1.48,38,34,sp,1.92,1.44,37,30,36.86989765,0
220,1.64,1.52,38,35,sp,1.92,1.56,39,30,39.09385889,0
221,1.64,1.56,38,36,sp,1.92,1.68,41,30,41.18592517,0
224,1.68,1.24,39,28,sp,2.04,0.72,19,30,19.44003483,0
225,1.68,1.28,39,29,sp,2.04,0.84,22,30,22.38013505,0
226,1.68,1.32,39,30,sp,2.04,0.96,25,30,25.20112365,0
227,1.68,1.36,39,31,sp,2.04,1.08,28,30,27.89727103,0
228,1.68,1.4,39,32,sp,2.04,1.2,30,30,30.46554492,1
229,1.68,1.44,39,33,sp,2.04,1.32,33,30,32.90524292,0
230,1.68,1.48,39,34,sp,2.04,1.44,35,30,35.21759297,0
235,1.72,1.2,40,27,sp,2.16,0.6,16,30,15.524111,0
236,1.72,1.24,40,28,sp,2.16,0.72,18,30,18.43494882,0
237,1.72,1.28,40,29,sp,2.16,0.84,21,30,21.25050551,0
238,1.72,1.32,40,30,sp,2.16,0.96,24,30,23.96248897,0
239,1.72,1.36,40,31,sp,2.16,1.08,27,30,26.56505118,0
240,1.72,1.4,40,32,sp,2.16,1.2,29,30,29.0546041,0
241,1.72,1.44,40,33,sp,2.16,1.32,31,30,31.42956561,0
248,1.76,1.24,41,28,sp,2.28,0.72,18,30,17.52556837,0
249,1.76,1.28,41,29,sp,2.28,0.84,20,30,20.22485943,0
250,1.76,1.32,41,30,sp,2.28,0.96,23,30,22.83365418,0
251,1.76,1.36,41,31,sp,2.28,1.08,25,30,25.34617594,0
261,1.8,1.24,42,28,sp,2.4,0.72,17,30,16.69924423,0
341,1.2,1.72,27,40,sp,0.6,2.16,74,60,74.475889,0
352,1.24,1.68,28,39,sp,0.72,2.04,71,60,70.55996517,0
353,1.24,1.72,28,40,sp,0.72,2.16,72,60,71.56505118,0
354,1.24,1.76,28,41,sp,0.72,2.28,72,60,72.47443163,0
355,1.24,1.8,28,42,sp,0.72,2.4,73,60,73.30075577,0
366,1.28,1.68,29,39,sp,0.84,2.04,68,60,67.61986495,0
367,1.28,1.72,29,40,sp,0.84,2.16,69,60,68.74949449,0
368,1.28,1.76,29,41,sp,0.84,2.28,70,60,69.77514057,0
380,1.32,1.68,30,39,sp,0.96,2.04,65,60,64.79887635,0
381,1.32,1.72,30,40,sp,0.96,2.16,66,60,66.03751103,0
382,1.32,1.76,30,41,sp,0.96,2.28,67,60,67.16634582,0
392,1.36,1.64,31,38,sp,1.08,1.92,61,60,60.64224646,0
393,1.36,1.68,31,39,sp,1.08,2.04,62,60,62.10272897,0
394,1.36,1.72,31,40,sp,1.08,2.16,63,60,63.43494882,0
395,1.36,1.76,31,41,sp,1.08,2.28,65,60,64.65382406,0
403,1.4,1.6,32,37,sp,1.2,1.8,56,60,56.30993247,0
404,1.4,1.64,32,38,sp,1.2,1.92,58,60,57.99461679,0
405,1.4,1.68,32,39,sp,1.2,2.04,60,60,59.53445508,1
406,1.4,1.72,32,40,sp,1.2,2.16,61,60,60.9453959,0
414,1.44,1.6,33,37,sp,1.32,1.8,54,60,53.74616226,0
415,1.44,1.64,33,38,sp,1.32,1.92,55,60,55.49147701,0
416,1.44,1.68,33,39,sp,1.32,2.04,57,60,57.09475708,0
417,1.44,1.72,33,40,sp,1.32,2.16,59,60,58.57043439,0
423,1.48,1.56,34,36,sp,1.44,1.68,49,60,49.39870535,0
424,1.48,1.6,34,37,sp,1.44,1.8,51,60,51.34019175,0
425,1.48,1.64,34,38,sp,1.44,1.92,53,60,53.13010235,0
426,1.48,1.68,34,39,sp,1.44,2.04,55,60,54.78240703,0
432,1.52,1.56,35,36,sp,1.56,1.68,47,60,47.1210964,0
433,1.52,1.6,35,37,sp,1.56,1.8,49,60,49.08561678,0
434,1.52,1.64,35,38,sp,1.56,1.92,51,60,50.90614111,0
441,1.56,1.6,36,37,sp,1.68,1.8,47,60,46.97493401,0
442,1.56,1.64,36,38,sp,1.68,1.92,49,60,48.81407483,0
477,0.8,1.8,17,42,sp,-0.6,2.4,104,90,104.0362435,0
482,0.84,1.72,18,40,sp,-0.48,2.16,103,90,102.5288077,0
483,0.84,1.76,18,41,sp,-0.48,2.28,102,90,101.888658,0
484,0.84,1.8,18,42,sp,-0.48,2.4,101,90,101.3099325,0
493,0.88,1.72,19,40,sp,-0.36,2.16,99,90,99.46232221,0
494,0.88,1.76,19,41,sp,-0.36,2.28,99,90,98.97262661,0
495,0.88,1.8,19,42,sp,-0.36,2.4,99,90,98.53076561,0
509,0.92,1.76,20,41,sp,-0.24,2.28,96,90,96.00900596,0
510,0.92,1.8,20,42,sp,-0.24,2.4,96,90,95.71059314,0
528,0.96,1.76,21,41,sp,-0.12,2.28,93,90,93.0127875,0
529,0.96,1.8,21,42,sp,-0.12,2.4,93,90,92.86240523,0
550,1,1.76,22,41,sp,-4.44E-16,2.28,90,90,90,1
551,1,1.8,22,42,sp,-4.44E-16,2.4,90,90,90,0
569,1.04,1.76,23,41,sp,0.12,2.28,87,90,86.9872125,0
570,1.04,1.8,23,42,sp,0.12,2.4,87,90,87.13759477,0
584,1.08,1.76,24,41,sp,0.24,2.28,84,90,83.99099404,0
585,1.08,1.8,24,42,sp,0.24,2.4,84,90,84.28940686,0
594,1.12,1.72,25,40,sp,0.36,2.16,81,90,80.53767779,0
595,1.12,1.76,25,41,sp,0.36,2.28,81,90,81.02737339,0
596,1.12,1.8,25,42,sp,0.36,2.4,81,90,81.46923439,0
601,1.16,1.72,26,40,sp,0.48,2.16,77,90,77.47119229,0
602,1.16,1.76,26,41,sp,0.48,2.28,78,90,78.11134196,0
603,1.16,1.8,26,42,sp,0.48,2.4,79,90,78.69006753,0
606,1.2,1.8,27,42,sp,0.6,2.4,76,90,75.96375653,0
637,0.44,1.6,8,37,sp,-1.68,1.8,133,120,133.025066,0
638,0.44,1.64,8,38,sp,-1.68,1.92,131,120,131.1859252,0
645,0.48,1.56,9,36,sp,-1.56,1.68,133,120,132.8789036,0
646,0.48,1.6,9,37,sp,-1.56,1.8,131,120,130.9143832,0
647,0.48,1.64,9,38,sp,-1.56,1.92,129,120,129.0938589,0
655,0.52,1.56,10,36,sp,-1.44,1.68,131,120,130.6012946,0
656,0.52,1.6,10,37,sp,-1.44,1.8,129,120,128.6598083,0
657,0.52,1.64,10,38,sp,-1.44,1.92,127,120,126.8698976,0
658,0.52,1.68,10,39,sp,-1.44,2.04,125,120,125.217593,0
667,0.56,1.6,11,37,sp,-1.32,1.8,126,120,126.2538377,0
668,0.56,1.64,11,38,sp,-1.32,1.92,125,120,124.508523,0
669,0.56,1.68,11,39,sp,-1.32,2.04,123,120,122.9052429,0
670,0.56,1.72,11,40,sp,-1.32,2.16,121,120,121.4295656,0
679,0.6,1.6,12,37,sp,-1.2,1.8,124,120,123.6900675,0
680,0.6,1.64,12,38,sp,-1.2,1.92,122,120,122.0053832,0
681,0.6,1.68,12,39,sp,-1.2,2.04,120,120,120.4655449,1
682,0.6,1.72,12,40,sp,-1.2,2.16,119,120,119.0546041,0
693,0.64,1.64,13,38,sp,-1.08,1.92,119,120,119.3577535,0
694,0.64,1.68,13,39,sp,-1.08,2.04,118,120,117.897271,0
695,0.64,1.72,13,40,sp,-1.08,2.16,117,120,116.5650512,0
696,0.64,1.76,13,41,sp,-1.08,2.28,115,120,115.3461759,0
708,0.68,1.68,14,39,sp,-0.96,2.04,115,120,115.2011236,0
709,0.68,1.72,14,40,sp,-0.96,2.16,114,120,113.962489,0
710,0.68,1.76,14,41,sp,-0.96,2.28,113,120,112.8336542,0
723,0.72,1.68,15,39,sp,-0.84,2.04,112,120,112.3801351,0
724,0.72,1.72,15,40,sp,-0.84,2.16,111,120,111.2505055,0
725,0.72,1.76,15,41,sp,-0.84,2.28,110,120,110.2248594,0
739,0.76,1.68,16,39,sp,-0.72,2.04,109,120,109.4400348,0
740,0.76,1.72,16,40,sp,-0.72,2.16,108,120,108.4349488,0
741,0.76,1.76,16,41,sp,-0.72,2.28,108,120,107.5255684,0
742,0.76,1.8,16,42,sp,-0.72,2.4,107,120,106.6992442,0
756,0.8,1.72,17,40,sp,-0.6,2.16,106,120,105.524111,0
811,0.2,1.24,2,28,sp,-2.4,0.72,163,150,163.3007558,0
825,0.24,1.24,3,28,sp,-2.28,0.72,162,150,162.4744316,0
826,0.24,1.28,3,29,sp,-2.28,0.84,160,150,159.7751406,0
827,0.24,1.32,3,30,sp,-2.28,0.96,157,150,157.1663458,0
828,0.24,1.36,3,31,sp,-2.28,1.08,155,150,154.6538241,0
838,0.28,1.2,4,27,sp,-2.16,0.6,164,150,164.475889,0
839,0.28,1.24,4,28,sp,-2.16,0.72,162,150,161.5650512,0
840,0.28,1.28,4,29,sp,-2.16,0.84,159,150,158.7494945,0
841,0.28,1.32,4,30,sp,-2.16,0.96,156,150,156.037511,0
842,0.28,1.36,4,31,sp,-2.16,1.08,153,150,153.4349488,0
843,0.28,1.4,4,32,sp,-2.16,1.2,151,150,150.9453959,0
844,0.28,1.44,4,33,sp,-2.16,1.32,149,150,148.5704344,0
852,0.32,1.24,5,28,sp,-2.04,0.72,161,150,160.5599652,0
853,0.32,1.28,5,29,sp,-2.04,0.84,158,150,157.6198649,0
854,0.32,1.32,5,30,sp,-2.04,0.96,155,150,154.7988764,0
855,0.32,1.36,5,31,sp,-2.04,1.08,152,150,152.102729,0
856,0.32,1.4,5,32,sp,-2.04,1.2,150,150,149.5344551,1
857,0.32,1.44,5,33,sp,-2.04,1.32,147,150,147.0947571,0
858,0.32,1.48,5,34,sp,-2.04,1.44,145,150,144.782407,0
867,0.36,1.36,6,31,sp,-1.92,1.08,151,150,150.6422465,0
868,0.36,1.4,6,32,sp,-1.92,1.2,148,150,147.9946168,0
869,0.36,1.44,6,33,sp,-1.92,1.32,145,150,145.491477,0
870,0.36,1.48,6,34,sp,-1.92,1.44,143,150,143.1301024,0
871,0.36,1.52,6,35,sp,-1.92,1.56,141,150,140.9061411,0
872,0.36,1.56,6,36,sp,-1.92,1.68,139,150,138.8140748,0
879,0.4,1.4,7,32,sp,-1.8,1.2,146,150,146.3099325,0
880,0.4,1.44,7,33,sp,-1.8,1.32,144,150,143.7461623,0
881,0.4,1.48,7,34,sp,-1.8,1.44,141,150,141.3401917,0
882,0.4,1.52,7,35,sp,-1.8,1.56,139,150,139.0856168,0
883,0.4,1.56,7,36,sp,-1.8,1.68,137,150,136.974934,0
892,0.44,1.48,8,34,sp,-1.68,1.44,139,150,139.3987054,0
893,0.44,1.52,8,35,sp,-1.68,1.56,137,150,137.1210964,0
975,0.2,0.8,2,17,sp,-2.4,-0.6,194,180,194.0362435,0
976,0.2,0.84,2,18,sp,-2.4,-0.48,191,180,191.3099325,0
977,0.2,0.88,2,19,sp,-2.4,-0.36,189,180,188.5307656,0
978,0.2,0.92,2,20,sp,-2.4,-0.24,186,180,185.7105931,0
979,0.2,0.96,2,21,sp,-2.4,-0.12,183,180,182.8624052,0
980,0.2,1,2,22,sp,-2.4,-4.44E-16,180,180,180,1
981,0.2,1.04,2,23,sp,-2.4,0.12,177,180,177.1375948,0
982,0.2,1.08,2,24,sp,-2.4,0.24,174,180,174.2894069,0
983,0.2,1.12,2,25,sp,-2.4,0.36,171,180,171.4692344,0
984,0.2,1.16,2,26,sp,-2.4,0.48,169,180,168.6900675,0
985,0.2,1.2,2,27,sp,-2.4,0.6,166,180,165.9637565,0
986,0.24,0.84,3,18,sp,-2.28,-0.48,192,180,191.888658,0
987,0.24,0.88,3,19,sp,-2.28,-0.36,189,180,188.9726266,0
988,0.24,0.92,3,20,sp,-2.28,-0.24,186,180,186.009006,0
989,0.24,0.96,3,21,sp,-2.28,-0.12,183,180,183.0127875,0
990,0.24,1,3,22,sp,-2.28,-4.44E-16,180,180,180,0
991,0.24,1.04,3,23,sp,-2.28,0.12,177,180,176.9872125,0
992,0.24,1.08,3,24,sp,-2.28,0.24,174,180,173.990994,0
993,0.24,1.12,3,25,sp,-2.28,0.36,171,180,171.0273734,0
994,0.24,1.16,3,26,sp,-2.28,0.48,168,180,168.111342,0
995,0.28,0.84,4,18,sp,-2.16,-0.48,193,180,192.5288077,0
