row,col,row_ith,col_ith,value,align_x,align_y,angle,ang_con
1.04,1,23,22,nsp,0.12,-4.44E-16,360,0
1.08,1,24,22,nsp,0.24,-4.44E-16,360,0
1.12,1,25,22,nsp,0.36,-4.44E-16,360,0
1.16,0.96,26,21,nsp,0.48,-0.12,346,0
1.16,1,26,22,nsp,0.48,-4.44E-16,360,0
1.16,1.04,26,23,nsp,0.48,0.12,14,0
1.2,0.96,27,21,nsp,0.6,-0.12,349,0
1.2,1,27,22,nsp,0.6,-4.44E-16,360,0
1.2,1.04,27,23,nsp,0.6,0.12,11,0
1.24,0.96,28,21,nsp,0.72,-0.12,351,0
1.24,1,28,22,nsp,0.72,-4.44E-16,360,0
1.24,1.04,28,23,nsp,0.72,0.12,9,0
1.28,0.96,29,21,nsp,0.84,-0.12,352,0
1.28,1,29,22,nsp,0.84,-4.44E-16,360,0
1.28,1.04,29,23,nsp,0.84,0.12,8,0
1.32,0.92,30,20,nsp,0.96,-0.24,346,0
1.32,0.96,30,21,nsp,0.96,-0.12,353,0
1.32,1,30,22,nsp,0.96,-4.44E-16,360,0
1.32,1.04,30,23,nsp,0.96,0.12,7,0
1.32,1.08,30,24,nsp,0.96,0.24,14,0
1.36,0.92,31,20,nsp,1.08,-0.24,347,0
1.36,0.96,31,21,nsp,1.08,-0.12,354,0
1.36,1,31,22,nsp,1.08,-4.44E-16,360,0
1.36,1.04,31,23,nsp,1.08,0.12,6,0
1.36,1.08,31,24,nsp,1.08,0.24,13,0
1.4,0.92,32,20,nsp,1.2,-0.24,349,0
1.4,0.96,32,21,nsp,1.2,-0.12,354,0
1.4,1,32,22,nsp,1.2,-4.44E-16,360,0
1.4,1.04,32,23,nsp,1.2,0.12,6,0
1.4,1.08,32,24,nsp,1.2,0.24,11,0
1.44,0.92,33,20,nsp,1.32,-0.24,350,0
1.44,0.96,33,21,nsp,1.32,-0.12,355,0
1.44,1,33,22,nsp,1.32,-4.44E-16,360,0
1.44,1.04,33,23,nsp,1.32,0.12,5,0
1.44,1.08,33,24,nsp,1.32,0.24,10,0
