row,col,row_ith,col_ith,value,align_x,align_y,angle,ang_con
1.02,1,46,45,nsp,0.06,-4.44E-16,360,0
1.04,1,47,45,nsp,0.12,-4.44E-16,360,0
1.06,1,48,45,nsp,0.18,-4.44E-16,360,0
1.08,0.98,49,44,nsp,0.24,-0.06,346,0
1.08,1,49,45,nsp,0.24,-4.44E-16,360,0
1.08,1.02,49,46,nsp,0.24,0.06,14,0
1.1,0.98,50,44,nsp,0.3,-0.06,349,0
1.1,1,50,45,nsp,0.3,-4.44E-16,360,0
1.1,1.02,50,46,nsp,0.3,0.06,11,0
1.12,0.98,51,44,nsp,0.36,-0.06,351,0
1.12,1,51,45,nsp,0.36,-4.44E-16,360,0
1.12,1.02,51,46,nsp,0.36,0.06,9,0
1.14,0.98,52,44,nsp,0.42,-0.06,352,0
1.14,1,52,45,nsp,0.42,-4.44E-16,360,0
1.14,1.02,52,46,nsp,0.42,0.06,8,0
1.16,0.96,53,43,nsp,0.48,-0.12,346,0
1.16,0.98,53,44,nsp,0.48,-0.06,353,0
1.16,1,53,45,nsp,0.48,-4.44E-16,360,0
1.16,1.02,53,46,nsp,0.48,0.06,7,0
1.16,1.04,53,47,nsp,0.48,0.12,14,0
1.18,0.96,54,43,nsp,0.54,-0.12,347,0
1.18,0.98,54,44,nsp,0.54,-0.06,354,0
1.18,1,54,45,nsp,0.54,-4.44E-16,360,0
1.18,1.02,54,46,nsp,0.54,0.06,6,0
1.18,1.04,54,47,nsp,0.54,0.12,13,0
1.2,0.96,55,43,nsp,0.6,-0.12,349,0
1.2,0.98,55,44,nsp,0.6,-0.06,354,0
1.2,1,55,45,nsp,0.6,-4.44E-16,360,0
1.2,1.02,55,46,nsp,0.6,0.06,6,0
1.2,1.04,55,47,nsp,0.6,0.12,11,0
1.22,0.96,56,43,nsp,0.66,-0.12,350,0
1.22,0.98,56,44,nsp,0.66,-0.06,355,0
1.22,1,56,45,nsp,0.66,-4.44E-16,360,0
1.22,1.02,56,46,nsp,0.66,0.06,5,0
1.22,1.04,56,47,nsp,0.66,0.12,10,0
1.24,0.94,57,42,nsp,0.72,-0.18,346,0
1.24,0.96,57,43,nsp,0.72,-0.12,351,0
1.24,0.98,57,44,nsp,0.72,-0.06,355,0
1.24,1,57,45,nsp,0.72,-4.44E-16,360,0
1.24,1.02,57,46,nsp,0.72,0.06,5,0
1.24,1.04,57,47,nsp,0.72,0.12,9,0
1.24,1.06,57,48,nsp,0.72,0.18,14,0
1.26,0.94,58,42,nsp,0.78,-0.18,347,0
1.26,0.96,58,43,nsp,0.78,-0.12,351,0
1.26,0.98,58,44,nsp,0.78,-0.06,356,0
1.26,1,58,45,nsp,0.78,-4.44E-16,360,0
1.26,1.02,58,46,nsp,0.78,0.06,4,0
1.26,1.04,58,47,nsp,0.78,0.12,9,0
1.26,1.06,58,48,nsp,0.78,0.18,13,0
1.28,0.94,59,42,nsp,0.84,-0.18,348,0
